business_id,name,address,city,postal_code,lat,lon,tract_geoid,median_household_income,poverty_rate_pct,access_class,access_score
PR0305391,ERIK'S DELICAFE,148 N MILPITAS BL,Milpitas,95035,37.4355174,-121.9008125,06085504414,165761,11.2,underserved,8
PR0305392,BASKIN ROBBINS,7040 SANTA TERESA BL,San Jose,95139,37.2264825,-121.7760243,06085512034,157569,2.0,well_served,2
PR0305395,JTOWN PIZZA CO.,625 N 6TH ST,San Jose,95112,37.3498111,-121.8938670999,06085501101,105138,22.9,highly_underserved,9
PR0305401,SJ CRAWFISH,393 N CAPITOL AV,San Jose,95133,37.371692,-121.846275,06085503804,141289,6.3,underserved,7
PR0305402,PHO HA NOI,1228 S ABEL ST,Milpitas,95035,37.412761,-121.903039,06085504505,229572,2.5,moderate,5
PR0305404,LE BOULANGER,301 MAIN ST,Los Altos,94022,37.378179,-122.116774,06085510300,250001,3.2,well_served,1
PR0305405,BANH CUON THIEN HUONG,1818 TULLY RD 218,San Jose,95122,37.3231084,-121.8246317,06085503305,103000,13.6,highly_underserved,9
PR0305406,GUMBA'S,176 S MURPHY AV,Sunnyvale,94086,37.3764585,-122.0302487,06085508602,180959,7.9,underserved,6
PR0305408,BEBE BITEZ FOOD LLC,3261 ASH ST # B,Palo Alto,94306,37.4223317999,-122.1361716,06085510700,182266,3.3,moderate,4
PR0305410,DANA STREET ROASTING CO,744 W DANA ST,Mountain View,94041,37.392451,-122.0789,06085509600,188676,14.7,underserved,6
PR0305413,HABANA CUBA RESTAURANT,1795 SPACE PARK DR,Santa Clara,95054,37.376543,-121.958188,06085505202,164928,19.1,underserved,8
PR0305414,ASSYRIAN  CHURCH OF THE EAST,680 MINNESOTA AV,San Jose,95125,37.308545,-121.887831,06085502400,222311,6.8,moderate,3
PR0305415,EL CHALATECO,825 E EL CAMINO REAL,Mountain View,94041,37.3760167,-122.0621248,06085509110,192045,5.8,underserved,6
PR0305417,YOSHI SUSHI,599 E CALAVERAS BL,Milpitas,95035,37.435463,-121.897114,06085504414,165761,11.2,underserved,8
PR0305418,BILLY JONES WILDCAT RAILROAD,233 BLOSSOM HILL RD,Los Gatos,95030,37.2422159,-121.96864,06085507100,159821,3.8,moderate,4
PR0305420,LOMA BREWING COMPANY,130 N SANTA CRUZ AV STE G,Los Gatos,95030,37.2252873,-121.9823038,06085507004,175347,8.3,moderate,5
PR0305422,GAMERS HEAVEN BAY AREA,1171 HOMESTEAD RD # 190,Santa Clara,95050,37.348655,-121.946147,06085505600,140263,20.1,underserved,8
PR0305425,SILICON VALLEY VALERO,59 W EL CAMINO REAL,Mountain View,94040,37.38087,-122.074537,06085509902,222955,10.9,underserved,6
PR0305427,C J 'S BBQ,461 BLOSSOM HILL RD A,San Jose,95123,37.251925,-121.831994,06085512026,160156,3.4,moderate,3
PR0305428,MIYAKKO,664 BLOSSOM HILL RD,San Jose,95123,37.250497,-121.8446732,06085512047,180909,3.4,moderate,4
PR0305431,PIZZA HUT #283306,3161 SENTER RD,San Jose,95111,37.292485,-121.833488,06085503217,81786,5.5,underserved,7
PR0305432,CASA CARMELA KITCHEN,955 SARATOGA AV,San Jose,95129,37.3097492,-121.9775575,06085506204,200288,6.3,moderate,3
PR0305433,BAY SUSHI,1647 HOLLENBECK AV,Sunnyvale,94087,37.3410902,-122.0414799,06085508305,121145,4.4,underserved,8
PR0305434,STORY SUPERMARKET,1200 STORY RD,San Jose,95122,37.333364,-121.852415,06085503110,77353,14.2,highly_underserved,9
PR0305439,BETTO'S BISTRO INC,17385 MONTEREY RD,Morgan Hill,95037,37.1286472,-121.6530776,06085512314,152349,7.8,underserved,6
